Date,NAICS Description,Value,LastUpdated
2012,Wholesale and retail,28809800000.0,2024-12-29T04:16:14.672091
2013,Agriculture & forestry,6457500000.0,2024-12-29T04:16:14.672091
2013,All industries,310990000000.0,2024-12-29T04:16:14.672091
2013,Business & professional services,63333800000.0,2024-12-29T04:16:14.672091
2013,Construction & construction trades,74730600000.0,2024-12-29T04:16:14.672091
2013,"Manufacturing, packaging & processing",25255900000.0,2024-12-29T04:16:14.672091
2013,Mining & petroleum development,48296900000.0,2024-12-29T04:16:14.672091
2013,"Provincial & municipal government, education & health",46066800000.0,2024-12-29T04:16:14.672091
2013,"Transportation, communication & utilities",18341600000.0,2024-12-29T04:16:14.672091
2013,Wholesale and retail,30469700000.0,2024-12-29T04:16:14.672091
2014,Agriculture & forestry,5876700000.0,2024-12-29T04:16:14.672091
2014,All industries,329203400000.0,2024-12-29T04:16:14.672091
2014,Business & professional services,66794300000.0,2024-12-29T04:16:14.672091
2014,Construction & construction trades,78160800000.0,2024-12-29T04:16:14.672091
2014,"Manufacturing, packaging & processing",25989800000.0,2024-12-29T04:16:14.672091
2014,Mining & petroleum development,53717600000.0,2024-12-29T04:16:14.672091
2014,"Provincial & municipal government, education & health",47272300000.0,2024-12-29T04:16:14.672091
2014,"Transportation, communication & utilities",19686300000.0,2024-12-29T04:16:14.672091
2014,Wholesale and retail,31420300000.0,2024-12-29T04:16:14.672091
2015,Agriculture & forestry,5658100000.0,2024-12-29T04:16:14.672091
2015,All industries,317733100000.0,2024-12-29T04:16:14.672091
2015,Business & professional services,65659700000.0,2024-12-29T04:16:14.672091
2015,Construction & construction trades,72190700000.0,2024-12-29T04:16:14.672091
2015,"Manufacturing, packaging & processing",24929700000.0,2024-12-29T04:16:14.672091
2015,Mining & petroleum development,52302500000.0,2024-12-29T04:16:14.672091
2015,"Provincial & municipal government, education & health",48171700000.0,2024-12-29T04:16:14.672091
2015,"Transportation, communication & utilities",19438200000.0,2024-12-29T04:16:14.672091
2015,Wholesale and retail,28642300000.0,2024-12-29T04:16:14.672091
2016,Agriculture & forestry,6492200000.0,2024-12-29T04:16:14.672091
2016,All industries,306174000000.0,2024-12-29T04:16:14.672091
2016,Business & professional services,63286700000.0,2024-12-29T04:16:14.672091
2016,Construction & construction trades,65434300000.0,2024-12-29T04:16:14.672091
2016,"Manufacturing, packaging & processing",24007800000.0,2024-12-29T04:16:14.672091
2016,Mining & petroleum development,50229100000.0,2024-12-29T04:16:14.672091
2016,"Provincial & municipal government, education & health",49353300000.0,2024-12-29T04:16:14.672091
2016,"Transportation, communication & utilities",19361900000.0,2024-12-29T04:16:14.672091
2016,Wholesale and retail,27464900000.0,2024-12-29T04:16:14.672091
2017,Agriculture & forestry,6637700000.0,2024-12-29T04:16:14.672091
2017,All industries,319212000000.0,2024-12-29T04:16:14.672091
2017,Business & professional services,63936400000.0,2024-12-29T04:16:14.672091
2017,Construction & construction trades,67286400000.0,2024-12-29T04:16:14.672091
2017,"Manufacturing, packaging & processing",25225400000.0,2024-12-29T04:16:14.672091
2017,Mining & petroleum development,56856300000.0,2024-12-29T04:16:14.672091
2017,"Provincial & municipal government, education & health",50044600000.0,2024-12-29T04:16:14.672091
2017,"Transportation, communication & utilities",20795600000.0,2024-12-29T04:16:14.672091
2017,Wholesale and retail,28429700000.0,2024-12-29T04:16:14.672091
2018,Agriculture & forestry,6267000000.0,2024-12-29T04:16:14.672091
2018,All industries,325837800000.0,2024-12-29T04:16:14.672091
2018,Business & professional services,63278100000.0,2024-12-29T04:16:14.672091
2018,Construction & construction trades,67535200000.0,2024-12-29T04:16:14.672091
2018,"Manufacturing, packaging & processing",25937100000.0,2024-12-29T04:16:14.672091
2018,Mining & petroleum development,60506400000.0,2024-12-29T04:16:14.672091
2018,"Provincial & municipal government, education & health",51500300000.0,2024-12-29T04:16:14.672091
2018,"Transportation, communication & utilities",21464400000.0,2024-12-29T04:16:14.672091
2018,Wholesale and retail,29232700000.0,2024-12-29T04:16:14.672091
2019,Agriculture & forestry,6604600000.0,2024-12-29T04:16:14.672091
2019,All industries,326213100000.0,2024-12-29T04:16:14.672091
2019,Business & professional services,63297100000.0,2024-12-29T04:16:14.672091
2019,Construction & construction trades,66210900000.0,2024-12-29T04:16:14.672091
2019,"Manufacturing, packaging & processing",25863600000.0,2024-12-29T04:16:14.672091
2019,Mining & petroleum development,60055200000.0,2024-12-29T04:16:14.672091
2019,"Provincial & municipal government, education & health",51692500000.0,2024-12-29T04:16:14.672091
2019,"Transportation, communication & utilities",22608700000.0,2024-12-29T04:16:14.672091
2019,Wholesale and retail,29824000000.0,2024-12-29T04:16:14.672091
2020,Agriculture & forestry,7059400000.0,2024-12-29T04:16:14.672091
2020,All industries,300801400000.0,2024-12-29T04:16:14.672091
2020,Business & professional services,57013300000.0,2024-12-29T04:16:14.672091
2020,Construction & construction trades,62132700000.0,2024-12-29T04:16:14.672091
2020,"Manufacturing, packaging & processing",23413600000.0,2024-12-29T04:16:14.672091
2020,Mining & petroleum development,53808300000.0,2024-12-29T04:16:14.672091
2020,"Provincial & municipal government, education & health",49769200000.0,2024-12-29T04:16:14.672091
2020,"Transportation, communication & utilities",19258800000.0,2024-12-29T04:16:14.672091
2020,Wholesale and retail,28277200000.0,2024-12-29T04:16:14.672091
2021,Agriculture & forestry,4803100000.0,2024-12-29T04:16:14.672091
2021,All industries,316815700000.0,2024-12-29T04:16:14.672091
2021,Business & professional services,60186900000.0,2024-12-29T04:16:14.672091
2021,Construction & construction trades,66600300000.0,2024-12-29T04:16:14.672091
2021,"Manufacturing, packaging & processing",24244700000.0,2024-12-29T04:16:14.672091
2021,Mining & petroleum development,57954200000.0,2024-12-29T04:16:14.672091
2021,"Provincial & municipal government, education & health",51510800000.0,2024-12-29T04:16:14.672091
2021,"Transportation, communication & utilities",20727800000.0,2024-12-29T04:16:14.672091
2021,Wholesale and retail,30609300000.0,2024-12-29T04:16:14.672091
2022,Agriculture & forestry,6783600000.0,2024-12-29T04:16:14.672091
2022,All industries,336275000000.0,2024-12-29T04:16:14.672091
2022,Business & professional services,64184000000.0,2024-12-29T04:16:14.672091
2022,Construction & construction trades,69823200000.0,2024-12-29T04:16:14.672091
2022,"Manufacturing, packaging & processing",24991600000.0,2024-12-29T04:16:14.672091
2022,Mining & petroleum development,62411800000.0,2024-12-29T04:16:14.672091
2022,"Provincial & municipal government, education & health",52542300000.0,2024-12-29T04:16:14.672091
2022,"Transportation, communication & utilities",22810800000.0,2024-12-29T04:16:14.672091
2022,Wholesale and retail,31748500000.0,2024-12-29T04:16:14.672091
2023,Agriculture & forestry,5950700000.0,2024-12-29T04:16:14.672091
2023,All industries,344149000000.0,2024-12-29T04:16:14.672091
2023,Business & professional services,66261500000.0,2024-12-29T04:16:14.672091
2023,Construction & construction trades,69802100000.0,2024-12-29T04:16:14.672091
2023,"Manufacturing, packaging & processing",25316900000.0,2024-12-29T04:16:14.672091
2023,Mining & petroleum development,64406700000.0,2024-12-29T04:16:14.672091
2023,"Provincial & municipal government, education & health",54570000000.0,2024-12-29T04:16:14.672091
2023,"Transportation, communication & utilities",23830100000.0,2024-12-29T04:16:14.672091
2023,Wholesale and retail,32795100000.0,2024-12-29T04:16:14.672091
