Date,GeoID,GeoName,NAICS,NAICS Description,Prices,Value
2002,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1529400000.0
2002,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,5265300000.0
2002,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,4194400000.0
2002,48,Alberta,91,Public administration,Chained (2017) dollars,11078100000.0
2002,48,Alberta,T001,All industries,Chained (2017) dollars,210970100000.0
2002,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,3206500000.0
2002,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,38156200000.0
2002,48,Alberta,22,Utilities,Chained (2017) dollars,3597400000.0
2002,48,Alberta,23,Construction,Chained (2017) dollars,19051500000.0
2002,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,20708100000.0
2002,48,Alberta,41,Wholesale trade,Chained (2017) dollars,9573700000.0
2003,48,Alberta,91,Public administration,Chained (2017) dollars,11289000000.0
2003,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,4358200000.0
2003,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,5241700000.0
2003,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1501900000.0
2003,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,12937100000.0
2003,48,Alberta,61,Educational services,Chained (2017) dollars,9561100000.0
2003,48,Alberta,T001,All industries,Chained (2017) dollars,218693000000.0
2003,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,4705300000.0
2003,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,39262200000.0
2003,48,Alberta,22,Utilities,Chained (2017) dollars,3814300000.0
2003,48,Alberta,23,Construction,Chained (2017) dollars,19159800000.0
2003,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,19925700000.0
2003,48,Alberta,41,Wholesale trade,Chained (2017) dollars,10148600000.0
2003,48,Alberta,44-45,Retail trade,Chained (2017) dollars,8743100000.0
2003,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,10513700000.0
2003,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,4962900000.0
2003,48,Alberta,52,Finance and insurance,Chained (2017) dollars,7611200000.0
2003,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,21812800000.0
2003,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,12220800000.0
2003,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,1789200000.0
2003,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,5432700000.0
2004,48,Alberta,91,Public administration,Chained (2017) dollars,11570600000.0
2004,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,4541000000.0
2004,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,5367100000.0
2004,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1566200000.0
2004,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,13450300000.0
2004,48,Alberta,61,Educational services,Chained (2017) dollars,9875400000.0
2004,48,Alberta,T001,All industries,Chained (2017) dollars,231299300000.0
2004,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,5556100000.0
2004,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,41732300000.0
2004,48,Alberta,22,Utilities,Chained (2017) dollars,3749200000.0
2004,48,Alberta,23,Construction,Chained (2017) dollars,20730800000.0
2004,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,21864300000.0
2004,48,Alberta,41,Wholesale trade,Chained (2017) dollars,10995500000.0
2004,48,Alberta,44-45,Retail trade,Chained (2017) dollars,8962000000.0
2004,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,10923100000.0
2004,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,5535100000.0
2004,48,Alberta,52,Finance and insurance,Chained (2017) dollars,8060500000.0
2004,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,22440200000.0
2004,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,12894600000.0
2004,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,1846400000.0
2004,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,5670100000.0
2005,48,Alberta,T001,All industries,Chained (2017) dollars,241957100000.0
2005,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,5419000000.0
2005,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,42566400000.0
2005,48,Alberta,22,Utilities,Chained (2017) dollars,3908400000.0
